lat,lon,ele
44.043332,4.453089,0
44.0434,4.453133,0
44.043735,4.453098,0
44.044106,4.453212,0
44.044311,4.45322,0
44.04446,4.45317,0
44.044596,4.453061,0
44.044707,4.452855,0
44.044923,4.452144,0
44.045141,4.451692,0
44.045437,4.451434,0
44.045419,4.450428,0
44.045457,4.450766,0
44.045445,4.451508,0
44.045173,4.451677,0
44.044936,4.452191,0
44.044741,4.452848,0
44.044647,4.453064,0
44.044583,4.453128,0
44.044372,4.453242,0
44.043898,4.453187,0
44.043606,4.453117,0
44.043391,4.453165,0
